                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1718,                 4.3599,                 1.3717,                      0,                      0,                      0,                      0,                0.83494,                 4.2351,                 1.0539,             8.1481e-05,             8.1481e-05,             8.1481e-05
                      1,                0.95217,                 4.1491,                 1.2136,                0.05116,                    0.5,                0.05988,                0.05145,                0.72819,                  3.933,                0.93111,             0.00016318,             0.00016318,             0.00016318
                      2,                0.89303,                 3.9128,                 1.1857,                0.03637,                0.84722,                0.10878,                0.08696,                0.77712,                 3.6254,                0.97533,             0.00024323,             0.00024323,             0.00024323
                      3,                0.90612,                 3.7122,                 1.1915,                0.27127,                0.28898,                0.18647,                0.15364,                0.71869,                 3.2035,                 1.0043,             0.00024258,             0.00024258,             0.00024258
                      4,                0.92236,                 3.4809,                 1.2076,                0.36229,                0.33857,                0.25762,                0.21258,                0.72902,                 2.9348,                 1.0269,             0.00024258,             0.00024258,             0.00024258
                      5,                0.90955,                 3.2651,                 1.2184,                0.27723,                 0.4487,                0.28789,                0.23767,                0.72843,                 2.6497,                 1.0811,              0.0002401,              0.0002401,              0.0002401
                      6,                0.91247,                 3.0623,                 1.2142,                0.28287,                0.52002,                0.34933,                0.28233,                0.73009,                  2.539,                 1.1004,             0.00023763,             0.00023763,             0.00023763
                      7,                0.93681,                 2.9222,                 1.2259,                0.29606,                0.65971,                 0.4479,                0.36693,                0.70006,                 2.4306,                 1.0478,             0.00023515,             0.00023515,             0.00023515
                      8,                0.90928,                 2.7884,                 1.2188,                  0.355,                0.61654,                0.50391,                0.41723,                0.70608,                 2.1863,                 1.0635,             0.00023268,             0.00023268,             0.00023268
                      9,                0.87297,                 2.6487,                 1.1856,                0.40803,                0.53583,                0.51725,                0.43385,                0.68434,                 2.0775,                  1.085,              0.0002302,              0.0002302,              0.0002302
                     10,                0.86399,                 2.5616,                   1.19,                0.42088,                0.71842,                0.60765,                0.50646,                0.69116,                  1.874,                 1.0595,             0.00022773,             0.00022773,             0.00022773
                     11,                 0.8687,                 2.4726,                 1.1893,                 0.5782,                 0.6599,                0.65984,                0.55957,                0.64461,                 1.7833,                 1.0443,             0.00022525,             0.00022525,             0.00022525
                     12,                0.84604,                 2.3491,                 1.1869,                0.66184,                0.66768,                0.67866,                0.58316,                0.61712,                 1.7354,                0.99731,             0.00022278,             0.00022278,             0.00022278
                     13,                0.85201,                 2.3362,                 1.1867,                0.54004,                0.75722,                0.72237,                0.59996,                  0.699,                 1.5864,                 1.0759,              0.0002203,              0.0002203,              0.0002203
                     14,                0.82529,                 2.2132,                 1.1695,                 0.5744,                0.75663,                0.74377,                0.63693,                0.62157,                 1.5499,                 1.0279,             0.00021782,             0.00021782,             0.00021782
                     15,                0.81235,                 2.1803,                 1.1602,                0.69575,                0.71099,                0.76448,                0.65787,                 0.6185,                 1.4693,                 1.0221,             0.00021535,             0.00021535,             0.00021535
                     16,                0.81565,                  2.128,                 1.1614,                0.65574,                0.79144,                0.81254,                0.69733,                 0.6191,                 1.3665,                 1.0347,             0.00021288,             0.00021288,             0.00021288
                     17,                0.79552,                 2.0035,                 1.1483,                0.69854,                0.80041,                0.83151,                0.71753,                0.60891,                 1.3288,                 1.0036,              0.0002104,              0.0002104,              0.0002104
                     18,                0.78698,                 1.9763,                 1.1418,                 0.7531,                0.76925,                0.85224,                0.73406,                0.63922,                 1.2925,                 1.0456,             0.00020792,             0.00020792,             0.00020792
                     19,                0.76494,                 1.9259,                 1.1244,                0.77625,                0.83775,                0.88031,                0.76167,                0.61387,                 1.1808,                 1.0043,             0.00020545,             0.00020545,             0.00020545
                     20,                0.74955,                 1.8524,                 1.1277,                0.80299,                0.84229,                0.88863,                0.76608,                0.61845,                 1.1517,                  1.018,             0.00020298,             0.00020298,             0.00020298
                     21,                0.74085,                  1.869,                 1.1217,                0.77837,                0.83535,                0.90639,                0.78003,                0.60043,                  1.113,                0.99968,              0.0002005,              0.0002005,              0.0002005
                     22,                0.75359,                 1.8063,                 1.1214,                0.77878,                0.83666,                0.89398,                0.78027,                0.58961,                 1.0725,                0.99749,             0.00019803,             0.00019803,             0.00019803
                     23,                0.74884,                 1.7663,                 1.1226,                0.79572,                0.90359,                0.92403,                0.80038,                0.58419,                0.99933,                 0.9914,             0.00019555,             0.00019555,             0.00019555
